"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url";"ideology";"wikidata_birthdate";"wikidata_enddate"
"Петрово-Соловово, Е. В.";"Петрово-Соловово";"Е. В.";"Е. В.";"Петрово-Соловово";"Петрово-Соловово";"";"Петрово-Соловово, Е. В.";"random_id232ec032b3e124954784a48329eac7a2ef4a214f";"random_id232ec032b3e124954784a48329eac7a2ef4a214f";"";"";""
"Петрово-Соловово, М. Ф.";"Петрово-Соловово";"М. Ф.";"М. Ф.";"Петрово-Соловово";"Петрово-Соловово";"";"Петрово-Соловово, М. Ф.";"random_idb8f7490541bcfda9b169eb9a027123e41fdba2f1";"random_idb8f7490541bcfda9b169eb9a027123e41fdba2f1";"";"";""
"Петрово-Солововы, Е. В.";"Петрово-Солововы";"Е. В.";"Е. В.";"Петрово-Соловов";"Петрово-Солововым";"";"Петрово-Соловов, Е. В.";"random_id42c714dac0a7b15897c73df826ec4329f01f3437";"random_id42c714dac0a7b15897c73df826ec4329f01f3437";"";"";""
"Петрово-Солововы, М. Ф.";"Петрово-Солововы";"М. Ф.";"М. Ф.";"Петрово-Соловов";"Петрово-Солововым";"";"Петрово-Соловов, М. Ф.";"random_id1a4c3e673b81db6788b259562fdd8fd42e46aa0f";"random_id1a4c3e673b81db6788b259562fdd8fd42e46aa0f";"";"";""
"Петровская, Е. И.";"Петровская";"Е. И.";"Е. И.";"Петровская";"Петровской";"";"Петровская, Е. И.";"random_id26da965be7ed9fa23de538e0dd255deb59962557";"random_id26da965be7ed9fa23de538e0dd255deb59962557";"";"";""
"Петровский, А. И.";"Петровский";"А. И.";"А. И.";"Петровский";"Петровскому";"";"Петровский, А. И.";"random_id8363041b75d317313e2647a3bff8830b4c38fdde";"random_id8363041b75d317313e2647a3bff8830b4c38fdde";"";"";""
"Петровский, И. К.";"Петровский";"И. К.";"И. К.";"Петровский";"Петровскому";"";"Петровский, И. К.";"random_idcb3391da7624b2eca85c0d5f413aa8e30542aede";"random_idcb3391da7624b2eca85c0d5f413aa8e30542aede";"";"";""
"Петрожицкий, И. И.";"Петрожицкий";"И. И.";"И. И.";"Петрожицкий";"Петрожицкому";"";"Петрожицкий, И. И.";"random_ide5663ec75a28913eb0c17c8a73c616dd6d4ce8ef";"random_ide5663ec75a28913eb0c17c8a73c616dd6d4ce8ef";"";"";""
"Петрункевич, М. И.";"Петрункевич";"М. И.";"М. И.";"Петрункевич";"Петрункевичу";"";"Петрункевич, М. И.";"random_id77f7688461c060be385e6e8865f99ed5c4874f37";"random_id77f7688461c060be385e6e8865f99ed5c4874f37";"";"";""
"Петухов, Е. В.";"Петухов";"Е. В.";"Е. В.";"Петухов";"Петухову";"";"Петухов, Е. В.";"random_id9b36cb33528df5ca32773c2318004a358f6d27b4";"random_id9b36cb33528df5ca32773c2318004a358f6d27b4";"";"";""
"Пецольд, М. Г.";"Пецольд";"М. Г.";"М. Г.";"Пецольд";"Пецольд";"";"Пецольд, М. Г.";"random_id39bc8ad4f937d3515ccaed04b2dc2f4cc869eaa8";"random_id39bc8ad4f937d3515ccaed04b2dc2f4cc869eaa8";"";"";""
"Печаткин, Евгений Петрович";"Печаткин";"Евгений Петрович";"Е. П.";"Печаткин";"Печаткин";"Печаткин, Евгений Петрович";"Печаткин, Е. П.";"Q18044147";"https://www.wikidata.org/wiki/Q18044147";"";"1838";"1918"
"Печерин, В. С.";"Печерин";"Владимир Сергеевич";"В. С.";"Печерин";"Печерину";"Печерин, Владимир Сергеевич";"Печерин, В. С.";"Q943902";"https://www.wikidata.org/wiki/Q943902";"";"1807";"1885"
"Печерин, Владимир Сергеевич";"Печерин";"Владимир Сергеевич";"В. С.";"Печерин";"Печерин";"Печерин, Владимир Сергеевич";"Печерин, В. С.";"Q943902";"https://www.wikidata.org/wiki/Q943902";"";"1807";"1885"
"Пешехонов, Ф. П.";"Пешехонов";"Ф. П.";"Ф. П.";"Пешехонов";"Пешехонову";"";"Пешехонов, Ф. П.";"random_id7866d4c4792d2ff527eca28ebc9e988bfae5ec82";"random_id7866d4c4792d2ff527eca28ebc9e988bfae5ec82";"";"";""
"Пешков, А. М.";"Пешков";"А. М.";"А. М.";"Пешков";"Пешкову";"";"Пешков, А. М.";"random_iddaa5b9c3e947f69f6b96eebc09b83d859e017aa6";"random_iddaa5b9c3e947f69f6b96eebc09b83d859e017aa6";"";"";""
"Пешкова-Толиверова, А. Н.";"Пешкова-Толиверова";"А. Н.";"А. Н.";"Пешкова-Толиверова";"Пешковой-Толиверовой";"";"Пешкова-Толиверова, А. Н.";"Q29293006";"https://www.wikidata.org/wiki/Q29293006";"";"1841";"1918"
"Пещурова, Е. Н.";"Пещурова";"Е. Н.";"Е. Н.";"Пещурова";"Пещуровой";"";"Пещурова, Е. Н.";"random_idbc8b9ccb91846078c5ba97ba79ddf76105f57f66";"random_idbc8b9ccb91846078c5ba97ba79ddf76105f57f66";"";"";""
"Пещурова, Л. Н.";"Пещурова";"Л. Н.";"Л. Н.";"Пещурова";"Пещуровой";"";"Пещурова, Л. Н.";"random_ida5e6e4315256b0553a243939f2596bd490c689ea";"random_ida5e6e4315256b0553a243939f2596bd490c689ea";"";"";""
"Пивоварова, Н. Ф.";"Пивоварова";"Н. Ф.";"Н. Ф.";"Пивоварова";"Пивоваровой";"";"Пивоварова, Н. Ф.";"random_idf604038e28a93a91857653d1ffe6e388e8cf7d7b";"random_idf604038e28a93a91857653d1ffe6e388e8cf7d7b";"";"";""
"Пименова, Э. К.";"Пименова";"Э. К.";"Э. К.";"Пименова";"Пименовой";"";"Пименова, Э. К.";"Q4362923";"https://www.wikidata.org/wiki/Q4362923";"";"1854";"1935"
"Пиотровский, И. А.";"Пиотровский";"Игнатий Антонович";"И. А.";"Пиотровский";"Пиотровскому";"Пиотровский, Игнатий Антонович";"Пиотровский, И. А.";"random_id7092958f2bf4f944d7f5ae8d436fcf8b7caacf01";"random_id7092958f2bf4f944d7f5ae8d436fcf8b7caacf01";"";"";""
"Пиотровский, Игнатий Антонович";"Пиотровский";"Игнатий Антонович";"И. А.";"Пиотровский";"Пиотровский";"Пиотровский, Игнатий Антонович";"Пиотровский, И. А.";"random_id1c908ef14cbf64dfd8c63fdc80fd29418a9e6fda";"random_id1c908ef14cbf64dfd8c63fdc80fd29418a9e6fda";"";"";""
"Писарев, А. А.";"Писарев";"Александр Александрович";"А. А.";"Писарев";"Писареву";"Писарев, Александр Александрович";"Писарев, А. А.";"Q4363530";"https://www.wikidata.org/wiki/Q4363530";"";"1780";"1848"
"Писарев, Александр Александрович";"Писарев";"Александр Александрович";"А. А.";"Писарев";"Писарев";"Писарев, Александр Александрович";"Писарев, А. А.";"Q4363530";"https://www.wikidata.org/wiki/Q4363530";"";"1780";"1848"
"Писарев, Д. И.";"Писарев";"Дмитрий Иванович";"Д. И.";"Писарев";"Писареву";"Писарев, Дмитрий Иванович";"Писарев, Д. И.";"Q378753";"https://www.wikidata.org/wiki/Q378753";"";"1840";"1868"
"Писарев, Дмитрий Иванович";"Писарев";"Дмитрий Иванович";"Д. И.";"Писарев";"Писарев";"Писарев, Дмитрий Иванович";"Писарев, Д. И.";"Q378753";"https://www.wikidata.org/wiki/Q378753";"";"1840";"1868"
"Писарев, М. И.";"Писарев";"Модест Иванович";"М. И.";"Писарев";"Писареву";"Писарев, Модест Иванович";"Писарев, М. И.";"Q16686376";"https://www.wikidata.org/wiki/Q16686376";"";"1844";"1905"
"Писарев, Модест Иванович";"Писарев";"Модест Иванович";"М. И.";"Писарев";"Писарев";"Писарев, Модест Иванович";"Писарев, М. И.";"Q16686376";"https://www.wikidata.org/wiki/Q16686376";"";"1844";"1905"
"Писарев, Р. А.";"Писарев";"Р. А.";"Р. А.";"Писарев";"Писареву";"";"Писарев, Р. А.";"random_ideaafe621b086c184e28a5495fa4823de8a5188c9";"random_ideaafe621b086c184e28a5495fa4823de8a5188c9";"";"";""
"Писарева, В. Д.";"Писарева";"В. Д.";"В. Д.";"Писарева";"Писаревой";"";"Писарева, В. Д.";"random_idf175d2fadd95c50a14567449fe55f12beb871ead";"random_idf175d2fadd95c50a14567449fe55f12beb871ead";"";"";""
"Писарский, В. А.";"Писарский";"В. А.";"В. А.";"Писарский";"Писарскому";"";"Писарский, В. А.";"random_idc84d3b95c1a73188bac6a16d219543c01d476c27";"random_idc84d3b95c1a73188bac6a16d219543c01d476c27";"";"";""
"Писаченко, Г. И.";"Писаченко";"Г. И.";"Г. И.";"Писаченко";"Писаченко";"";"Писаченко, Г. И.";"random_id80872ae10b8315ee7cf8ebc389cfa08976d5ee4f";"random_id80872ae10b8315ee7cf8ebc389cfa08976d5ee4f";"";"";""
"Писемские, А. Ф.";"Писемские";"А. Ф.";"А. Ф.";"Писемские";"Писемским";"";"Писемские, А. Ф.";"random_id68cadd23a822636c184c4e57dc928f9db03f19ec";"random_id68cadd23a822636c184c4e57dc928f9db03f19ec";"";"";""
"Писемские, Е. П.";"Писемские";"Е. П.";"Е. П.";"Писемские";"Писемским";"";"Писемские, Е. П.";"random_id65cb134d99d5ecb3245bc4e5fc31113c99f76782";"random_id65cb134d99d5ecb3245bc4e5fc31113c99f76782";"";"";""
"Писемский, А. Ф.";"Писемский";"Алексей Феофилактович";"А. Ф.";"Писемский";"Писемскому";"Писемский, Алексей Феофилактович";"Писемский, А. Ф.";"Q470371";"https://www.wikidata.org/wiki/Q470371";"";"1821";"1881"
"Писемский, Алексей Феофилактович";"Писемский";"Алексей Феофилактович";"А. Ф.";"Писемский";"Писемский";"Писемский, Алексей Феофилактович";"Писемский, А. Ф.";"Q470371";"https://www.wikidata.org/wiki/Q470371";"";"1821";"1881"
"Писемский, П. А.";"Писемский";"П. А.";"П. А.";"Писемский";"Писемскому";"";"Писемский, П. А.";"random_id2f6550f15772e11554ec7ca61d601d0d7554d185";"random_id2f6550f15772e11554ec7ca61d601d0d7554d185";"";"";""
"Письмо в редакцию";"Письмо в редакцию";"";"";"Письмо в редакцию";"Письмо в редакцию";"";"Письмо в редакцию";"random_idda6f0eca2e21e774daf08252f38dcbedde78218b";"random_idda6f0eca2e21e774daf08252f38dcbedde78218b";"";"";""
"Письмо к издатели";"Письмо к издатели";"";"";"Письмо к издатели";"Письмо к издателям";"";"Письмо к издатели";"random_id14b84e6ec9c76b545159b4163455294d586e6a68";"random_id14b84e6ec9c76b545159b4163455294d586e6a68";"";"";""
"Письмо к редактору";"Письмо к редактору";"";"";"Письмо к редактору";"Письмо к редактору";"";"Письмо к редактору";"random_ideb641f4b457845d4c24ae5998a138d99c7b7d2c8";"random_ideb641f4b457845d4c24ae5998a138d99c7b7d2c8";"";"";""
"Пихельгас, А.";"Пихельгас";"А.";"А.";"Пихельгас";"Пихельгас";"";"Пихельгас, А.";"random_id89e1af08a8e5d00dfd0f98e491b7a3e557c19eaa";"random_id89e1af08a8e5d00dfd0f98e491b7a3e557c19eaa";"";"";""
"Пихтин, М. В.";"Пихтин";"М. В.";"М. В.";"Пихтин";"Пихтину";"";"Пихтин, М. В.";"random_id146b054895fc898576fe10b3cf0a1aba2c9ea5b0";"random_id146b054895fc898576fe10b3cf0a1aba2c9ea5b0";"";"";""
"Пич, Л.";"Пич";"Л.";"Л.";"Пич";"Пичу";"";"Пич, Л.";"random_iddec867f5e8ec0914565ce43082ef4088b68a5cf1";"random_iddec867f5e8ec0914565ce43082ef4088b68a5cf1";"";"";""
"Плавинская, А. Г.";"Плавинская";"А. Г.";"А. Г.";"Плавинская";"Плавинской";"";"Плавинская, А. Г.";"random_id4bf3978b018fedd7635222d95bdec7a6057b159d";"random_id4bf3978b018fedd7635222d95bdec7a6057b159d";"";"";""
"Плаксин, С. И.";"Плаксин";"С. И.";"С. И.";"Плаксин";"Плаксину";"";"Плаксин, С. И.";"random_id709b8113b6323ed1f3dcb91a50d337e66bb56152";"random_id709b8113b6323ed1f3dcb91a50d337e66bb56152";"";"";""
"Планидин, П. В.";"Планидин";"П. В.";"П. В.";"Планидин";"Планидину";"";"Планидин, П. В.";"random_id17a2410fc0bc9f562d7aa5c21f3f2c62fc28e314";"random_id17a2410fc0bc9f562d7aa5c21f3f2c62fc28e314";"";"";""
"Пластун, П.";"Пластун";"П.";"П.";"Пластун";"Пластуну";"";"Пластун, П.";"random_id7f5105138cff36102e6109f6931b27009f794562";"random_id7f5105138cff36102e6109f6931b27009f794562";"";"";""
"Платонов, В. П.";"Платонов";"В. П.";"В. П.";"Платонов";"Платонову";"";"Платонов, В. П.";"random_ideda25c32503532141fb4ce9c6b7eea1807d18331";"random_ideda25c32503532141fb4ce9c6b7eea1807d18331";"";"";""
"Платонов, Н. Д.";"Платонов";"Н. Д.";"Н. Д.";"Платонов";"Платонову";"";"Платонов, Н. Д.";"random_idd68d9b40642c6ccb6c5521473728071c477515be";"random_idd68d9b40642c6ccb6c5521473728071c477515be";"";"";""
"Плаутин, Н. Ф.";"Плаутин";"Н. Ф.";"Н. Ф.";"Плаутин";"Плаутину";"";"Плаутин, Н. Ф.";"random_id4584cf59b26b28f71d18869b55d236761291a8fa";"random_id4584cf59b26b28f71d18869b55d236761291a8fa";"";"";""
"Плаутин, Сергей Фёдорович";"Плаутин";"Сергей Фёдорович";"С. Ф.";"Плаутин";"Плаутин";"Плаутин, Сергей Фёдорович";"Плаутин, С. Ф.";"random_idb91f7207efa6a90976b2ee29aed82f8ab885ab8e";"random_idb91f7207efa6a90976b2ee29aed82f8ab885ab8e";"";"";""
"Плаутин, Фёдор Сергеевич";"Плаутин";"Фёдор Сергеевич";"Ф. С.";"Плаутин";"Плаутин";"Плаутин, Фёдор Сергеевич";"Плаутин, Ф. С.";"random_id385e4a01cb23f07b290b65078dbc345f6cd7a2b9";"random_id385e4a01cb23f07b290b65078dbc345f6cd7a2b9";"";"";""
"Плаутина, Анна Платоновна";"Плаутина";"Анна Платоновна";"А. П.";"Плаутина";"Плаутина";"Плаутина, Анна Платоновна";"Плаутина, А. П.";"random_id895c502ac7795d46ca07e1d148983ff5615f5b34";"random_id895c502ac7795d46ca07e1d148983ff5615f5b34";"";"";""
"Плаутина, Варвара Сергеевна";"Плаутина";"Варвара Сергеевна";"В. С.";"Плаутина";"Плаутина";"Плаутина, Варвара Сергеевна";"Плаутина, В. С.";"random_id05acafd1b719a57e95b54805bc6089a5813cb7e0";"random_id05acafd1b719a57e95b54805bc6089a5813cb7e0";"";"";""
"Плеве, В. К.";"Плеве";"В. К.";"В. К.";"Плеве";"Плеве";"";"Плеве, В. К.";"Q351927";"https://www.wikidata.org/wiki/Q351927";"";"1846";"1904"
"Плетнёв, А.";"Плетнёв";"А.";"А.";"Плетнёв";"Плетневу";"";"Плетнёв, А.";"Q2993843";"https://www.wikidata.org/wiki/Q2993843";"";"1792";"1866"
"Плетнёв, П А.";"Плетнёв";"П А.";"П А.";"Плетнёв";"Плетневу";"";"Плетнёв, П А.";"Q2993843";"https://www.wikidata.org/wiki/Q2993843";"";"1792";"1866"
"Плетнёв, П. А.";"Плетнёв";"Пётр Александрович";"П. А.";"Плетнёв";"Плетнёву";"Плетнёв, Пётр Александрович";"Плетнёв, П. А.";"Q2993843";"https://www.wikidata.org/wiki/Q2993843";"";"1792";"1866"
"Плетнёв, П. Л.";"Плетнёв";"П. Л.";"П. Л.";"Плетнёв";"Плетневу";"";"Плетнёв, П. Л.";"random_id683693a415d921ea459a1949d966024e7d61e9ad";"random_id683693a415d921ea459a1949d966024e7d61e9ad";"";"";""
"Плетнёв, Пётр Александрович";"Плетнёв";"Пётр Александрович";"П. А.";"Плетнёв";"Плетнёв";"Плетнёв, Пётр Александрович";"Плетнёв, П. А.";"Q2993843";"https://www.wikidata.org/wiki/Q2993843";"";"1792";"1866"
"Плетнёва, А. В.";"Плетнёва";"А. В.";"А. В.";"Плетнёва";"Плетневой";"Плетнёва, Александра Васильевна";"Плетнёва, А. В.";"random_ida427feb91920c1ce8ffdee6c92d89e87815ce345";"random_ida427feb91920c1ce8ffdee6c92d89e87815ce345";"";"";""
"Плетнёва, Л. В.";"Плетнёва";"Л. В.";"Л. В.";"Плетнёва";"Плетневой";"";"Плетнёва, Л. В.";"random_id102e651890c26cedd3b9a348cba8d6ef781880da";"random_id102e651890c26cedd3b9a348cba8d6ef781880da";"";"";""
"Плеханов, Г. В.";"Плеханов";"Георгий Валентинович";"Г. В.";"Плеханов";"Плеханову";"Плеханов, Георгий Валентинович";"Плеханов, Г. В.";"Q182905";"https://www.wikidata.org/wiki/Q182905";"";"1856";"1918"
"Плеханов, Георгий Валентинович";"Плеханов";"Георгий Валентинович";"Г. В.";"Плеханов";"Плеханов";"Плеханов, Георгий Валентинович";"Плеханов, Г. В.";"Q182905";"https://www.wikidata.org/wiki/Q182905";"";"1856";"1918"
"Плец, М. А.";"Плец";"М. А.";"М. А.";"Плец";"Плецу";"";"Плец, М. А.";"random_id6775a4873156a9f70fe21e423bf7924c037adbb1";"random_id6775a4873156a9f70fe21e423bf7924c037adbb1";"";"";""
"Плещеев, А. А.";"Плещеев";"А. А.";"А. А.";"Плещеев";"Плещееву";"";"Плещеев, А. А.";"Q600678";"https://www.wikidata.org/wiki/Q600678";"";"1825";"1893"
"Плещеев, А. И.";"Плещеев";"А. И.";"А. И.";"Плещеев";"Плещееву";"";"Плещеев, А. И.";"Q600678";"https://www.wikidata.org/wiki/Q600678";"";"1825";"1893"
"Плещеев, А. Н.";"Плещеев";"Алексей Николаевич";"А. Н.";"Плещеев";"Плещееву";"Плещеев, Алексей Николаевич";"Плещеев, А. Н.";"Q600678";"https://www.wikidata.org/wiki/Q600678";"";"1825";"1893"
"Плещеев, Алексей Николаевич";"Плещеев";"Алексей Николаевич";"А. Н.";"Плещеев";"Плещеев";"Плещеев, Алексей Николаевич";"Плещеев, А. Н.";"Q600678";"https://www.wikidata.org/wiki/Q600678";"";"1825";"1893"
"Плотников, С. П.";"Плотников";"С. П.";"С. П.";"Плотников";"Плотникову";"";"Плотников, С. П.";"random_id5a44744ad728e34a77eb0d4b6bb46e2051123493";"random_id5a44744ad728e34a77eb0d4b6bb46e2051123493";"";"";""
"Плюскова, Н. Я.";"Плюскова";"Н. Я.";"Н. Я.";"Плюскова";"Плюсковой";"";"Плюскова, Н. Я.";"random_idd683a7ae4a3b4833d1283a671dd8d86a63fdca46";"random_idd683a7ae4a3b4833d1283a671dd8d86a63fdca46";"";"";""
"Плюснин, В. В.";"Плюснин";"В. В.";"В. В.";"Плюснин";"Плюснину";"";"Плюснин, В. В.";"random_id9484fa79a50e101119385eca4ecf698e1b64c4cb";"random_id9484fa79a50e101119385eca4ecf698e1b64c4cb";"";"";""
"Плюшар, А. А.";"Плюшар";"Адольф Александрович";"А. А.";"Плюшар";"Плюшару";"Плюшар, Адольф Александрович";"Плюшар, А. А.";"Q4365950";"https://www.wikidata.org/wiki/Q4365950";"";"1806";"1865"
"Плюшар, Адольф Александрович";"Плюшар";"Адольф Александрович";"А. А.";"Плюшар";"Плюшар";"Плюшар, Адольф Александрович";"Плюшар, А. А.";"Q4365950";"https://www.wikidata.org/wiki/Q4365950";"";"1806";"1865"
"Победимская, М. Ф.";"Победимская";"Марианна Федоровна";"М. Ф.";"Победимская";"Победимской";"Победимская, Марианна Федоровна";"Победимская, М. Ф.";"random_id79ebefabe73faaf3d7500510dc7751e27d2f76bc";"random_id79ebefabe73faaf3d7500510dc7751e27d2f76bc";"";"";""
"Победимская, Марианна Федоровна";"Победимская";"Марианна Федоровна";"М. Ф.";"Победимская";"Победимская";"Победимская, Марианна Федоровна";"Победимская, М. Ф.";"random_iddee841c990597e1cf9b150d87ab3d46c52636f42";"random_iddee841c990597e1cf9b150d87ab3d46c52636f42";"";"";""
"Победоносцев, К. П.";"Победоносцев";"Константин Петрович";"К. П.";"Победоносцев";"Победоносцеву";"Победоносцев, Константин Петрович";"Победоносцев, К. П.";"Q359754";"https://www.wikidata.org/wiki/Q359754";"";"1827";"1907"
"Победоносцев, Константин Петрович";"Победоносцев";"Константин Петрович";"К. П.";"Победоносцев";"Победоносцев";"Победоносцев, Константин Петрович";"Победоносцев, К. П.";"Q359754";"https://www.wikidata.org/wiki/Q359754";"";"1827";"1907"
"Победоносцев, П. В.";"Победоносцев";"П. В.";"П. В.";"Победоносцев";"Победоносцеву";"";"Победоносцев, П. В.";"random_id5afd0b0e4303ce5364e883d014f405adaa2acf38";"random_id5afd0b0e4303ce5364e883d014f405adaa2acf38";"";"";""
"Победоносцев, С. И.";"Победоносцев";"С. И.";"С. И.";"Победоносцев";"Победоносцеву";"";"Победоносцев, С. И.";"random_id21954485704527d1bdbcfa6c52478864461f07cb";"random_id21954485704527d1bdbcfa6c52478864461f07cb";"";"";""
"Победоносцев, С. П.";"Победоносцев";"С. П.";"С. П.";"Победоносцев";"Победоносцеву";"";"Победоносцев, С. П.";"random_id210e59c5007a55f3b8f9b3296130d1c0f9a4a65b";"random_id210e59c5007a55f3b8f9b3296130d1c0f9a4a65b";"";"";""
"Повенецкая общественная библиотека";"Повенецкая общественная библиотека";"";"";"Повенецкая общественная библиотека";"Повенецкой общественной библиотеке";"";"Повенецкая общественная библиотека";"random_idc7fcd3cff844ab72f3f4d84729822bfb58bc0779";"random_idc7fcd3cff844ab72f3f4d84729822bfb58bc0779";"";"";""
"Погодин, А. Д.";"Погодин";"А. Д.";"А. Д.";"Погодин";"Погодину";"";"Погодин, А. Д.";"random_idndeo5e5attfj2ygw4gco3yfprc8mhqosdbndnif8";"random_idndeo5e5attfj2ygw4gco3yfprc8mhqosdbndnif8";"";"";""
"Погодин, Григорий Петрович";"Погодин";"Григорий Петрович";"Г. П.";"Погодин";"Погодин";"Погодин, Григорий Петрович";"Погодин, Г. П.";"random_id53e29dd7b0b45d805a2e801a2ce06b2eef24f709";"random_id53e29dd7b0b45d805a2e801a2ce06b2eef24f709";"";"";""
"Погодин, Д. М.";"Погодин";"Д. М.";"Д. М.";"Погодин";"Погодину";"";"Погодин, Д. М.";"random_id0rln0mw4fvr3ddk1ps92wnnqv1zjbbr94kdku0l8";"random_id0rln0mw4fvr3ddk1ps92wnnqv1zjbbr94kdku0l8";"";"";""
"Погодин, Л. П.";"Погодин";"Л. П.";"Л. П.";"Погодин";"Погодину";"";"Погодин, Л. П.";"random_id7365cdf621257f879e2caee5aec9666a3a88856c";"random_id7365cdf621257f879e2caee5aec9666a3a88856c";"";"";""
"Погодин, М. Н.";"Погодин";"М. Н.";"М. Н.";"Погодин";"Погодину";"";"Погодин, М. Н.";"random_id547eb05a3fc37c034ce8cf06952ba6e732229b6f";"random_id547eb05a3fc37c034ce8cf06952ba6e732229b6f";"";"";""
"Погодин, М. П.";"Погодин";"Михаил Петрович";"М. П.";"Погодин";"Погодину";"Погодин, Михаил Петрович";"Погодин, М. П.";"Q1093709";"https://www.wikidata.org/wiki/Q1093709";"слав";"1800";"1875"
"Погодин, Михаил Петрович";"Погодин";"Михаил Петрович";"М. П.";"Погодин";"Погодин";"Погодин, Михаил Петрович";"Погодин, М. П.";"Q1093709";"https://www.wikidata.org/wiki/Q1093709";"слав";"1800";"1875"
"Погодин, П.";"Погодин";"П.";"П.";"Погодин";"Погодину";"";"Погодин, П.";"random_idqogx1e7nvk7u41csbmn8ezkftu67drkgw43to10l";"random_idqogx1e7nvk7u41csbmn8ezkftu67drkgw43to10l";"";"";""
"Погодина, А. М.";"Погодина";"А. М.";"А. М.";"Погодина";"Погодиной";"";"Погодина, А. М.";"random_id6586029f2183ea85b747e372356844a9f06f2c9b";"random_id6586029f2183ea85b747e372356844a9f06f2c9b";"";"";""
"Погодина, Е. В.";"Погодина";"Е. В.";"Е. В.";"Погодина";"Погодиной";"";"Погодина, Е. В.";"random_id0fd454341ad6fe4cfa17ca9e62e31bcf2f791317";"random_id0fd454341ad6fe4cfa17ca9e62e31bcf2f791317";"";"";""
"Погожева, А. В.";"Погожева";"А. В.";"А. В.";"Погожева";"Погожевой";"";"Погожева, А. В.";"random_id53f85851e4bd5fc633fd6a3dff22519f962288e3";"random_id53f85851e4bd5fc633fd6a3dff22519f962288e3";"";"";""
"Погосский, А. Ф.";"Погосский";"Александр Фомич";"А. Ф.";"Погосский";"Погосскому";"Погосский, Александр Фомич";"Погосский, А. Ф.";"Q4366765";"https://www.wikidata.org/wiki/Q4366765";"";"1816";"1874"
"Погосский, Александр Фомич";"Погосский";"Александр Фомич";"А. Ф.";"Погосский";"Погосский";"Погосский, Александр Фомич";"Погосский, А. Ф.";"Q4366765";"https://www.wikidata.org/wiki/Q4366765";"";"1816";"1874"
"Погребной, Н. Ф.";"Погребной";"Н. Ф.";"Н. Ф.";"Погребной";"Погребному";"";"Погребной, Н. Ф.";"random_idfaf0cd0d8be99225a8f2cf720d28aefac2279775";"random_idfaf0cd0d8be99225a8f2cf720d28aefac2279775";"";"";""
"Подгорецкий, С. С.";"Подгорецкий";"С. С.";"С. С.";"Подгорецкий";"Подгорецкому";"";"Подгорецкий, С. С.";"random_idee2c1b6262d71402adea03fb317d883bfa4a9019";"random_idee2c1b6262d71402adea03fb317d883bfa4a9019";"";"";""
"Подгорный, Е.";"Подгорный";"Е.";"Е.";"Подгорный";"Подгорному";"";"Подгорный, Е.";"random_id6b45dc8c8059949359405974b520df2181238ad9";"random_id6b45dc8c8059949359405974b520df2181238ad9";"";"";""
"Подгородниковая, Е. Э.";"Подгородниковая";"Е. Э.";"Е. Э.";"Подгородниковая";"Подгородниковой";"";"Подгородниковая, Е. Э.";"random_id17f655eef78922d1bc61faccae333ee011857598";"random_id17f655eef78922d1bc61faccae333ee011857598";"";"";""
"Поджио, Александр Викторович";"Поджио";"Александр Викторович";"А. В.";"Поджио";"Поджио";"Поджио, Александр Викторович";"Поджио, А. В.";"Q3609542";"https://www.wikidata.org/wiki/Q3609542";"";"1798";"1873"
"Подляшук, И.";"Подляшук";"И.";"И.";"Подляшук";"Подляшуку";"";"Подляшук, И.";"random_id3aa5fff367b9194187d0d56491dc15add9430167";"random_id3aa5fff367b9194187d0d56491dc15add9430167";"";"";""
"Подмарьков, П.";"Подмарьков";"П.";"П.";"Подмарьков";"Подмарькову";"";"Подмарьков, П.";"random_id157f669aff9088f336510ae23c0b89afaa3172a5";"random_id157f669aff9088f336510ae23c0b89afaa3172a5";"";"";""
"Подмарьков, П. П.";"Подмарьков";"П. П.";"П. П.";"Подмарьков";"Подмарькову";"";"Подмарьков, П. П.";"random_id535cdbc187c39ef0fe194bb5db9882391306ef18";"random_id535cdbc187c39ef0fe194bb5db9882391306ef18";"";"";""
"Подоводский, К.";"Подоводский";"К.";"К.";"Подоводский";"Подоводскому";"";"Подоводский, К.";"random_idbb077f9acf8589c45b7dc26c64970d4dde5b94dc";"random_idbb077f9acf8589c45b7dc26c64970d4dde5b94dc";"";"";""
"Подолинский, Андрей Иванович";"Подолинский";"Андрей Иванович";"А. И.";"Подолинский";"Подолинский";"Подолинский, Андрей Иванович";"Подолинский, А. И.";"Q12141445";"https://www.wikidata.org/wiki/Q12141445";"";"1806";"1886"
"Пожаров, А. А.";"Пожаров";"А. А.";"А. А.";"Пожаров";"Пожарову";"";"Пожаров, А. А.";"random_id8415902ec70535c8380f7a29e7ef9d7ce083e751";"random_id8415902ec70535c8380f7a29e7ef9d7ce083e751";"";"";""
"Познанский";"Познанский";"";"";"Познанский";"Познанскому";"";"Познанский";"Q20978292";"https://www.wikidata.org/wiki/Q20978292";"";"1801";"1878"
"Познанский, Э.";"Познанский";"Э.";"Э.";"Познанский";"Познанскому";"";"Познанский, Э.";"random_id76d1af8826fd80c8bd54b1857af55f0712b6b7a1";"random_id76d1af8826fd80c8bd54b1857af55f0712b6b7a1";"";"";""
