"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url"
"Бицын, Н.";"Бицын";"Н.";"Н.";"Бицын";"Бицыну";"";"Бицын, Н.";"Q4341535";"https://www.wikidata.org/wiki/Q4341535"
"Аксаковы, В. С.";"Аксаковы";"В. С.";"В. С.";"Аксаков";"Аксаковым";"";"Аксаков, В. С.";"";""
"Вяземский, П. А.";"Вяземский";"Пётр Андреевич";"П. А.";"Вяземский";"Вяземскому";"Вяземский, Пётр Андреевич";"Вяземский, П. А.";"Q19425";"https://www.wikidata.org/wiki/Q19425"
"Великопольская, С. М.";"Великопольская";"С. М.";"С. М.";"Великопольская";"Великопольской";"";"Великопольская, С. М.";"";""
"Аксаков, Сергей Тимофеевич";"Аксаков";"Сергей Тимофеевич";"С. Т.";"Аксаков";"Аксаков";"Аксаков, Сергей Тимофеевич";"Аксаков, С. Т.";"Q315188";"https://www.wikidata.org/wiki/Q315188"
"Панаев, А. И.";"Панаев";"А. И.";"А. И.";"Панаев";"Панаеву";"";"Панаев, А. И.";"Q4343827";"https://www.wikidata.org/wiki/Q4343827"
"Бенкендорф, А. Х.";"Бенкендорф";"Александр Христофорович";"А. Х.";"Бенкендорф";"Бенкендорфу";"Бенкендорф, Александр Христофорович";"Бенкендорф, А. Х.";"Q25672";"https://www.wikidata.org/wiki/Q25672"
"Бывшие студенты Казанского университета";"Бывшие студенты Казанского университета";"";"";"Бывшие студенты Казанского университета";"Бывшим студентам Казанского университета";"";"Бывшие студенты Казанского университета";"";""
"Аксаковы, М. С.";"Аксаковы";"М. С.";"М. С.";"Аксаков";"Аксаковым";"";"Аксаков, М. С.";"";""
"Главный управление цензуры";"Главный управление цензуры";"";"";"Главный управление цензуры";"Главному управлению цензуры";"";"Главный управление цензуры";"";""
"Голицын, Д. В.";"Голицын";"Д. В.";"Д. В.";"Голицын";"Голицыну";"";"Голицын, Д. В.";"";""
"Аксаковы, К. С.";"Аксаковы";"К. С.";"К. С.";"Аксаков";"Аксаковым";"";"Аксаков, К. С.";"Q722730";"https://www.wikidata.org/wiki/Q722730"
"Трутовский, К. А.";"Трутовский";"К. А.";"К. А.";"Трутовский";"Трутовскому";"";"Трутовский, К. А.";"";""
"Гоголь, М. И.";"Гоголь";"М. И.";"М. И.";"Гоголь";"Гоголь";"";"Гоголь, М. И.";"";""
"Погодин, М. П.";"Погодин";"Михаил Петрович";"М. П.";"Погодин";"Погодину";"Погодин, Михаил Петрович";"Погодин, М. П.";"Q1093709";"https://www.wikidata.org/wiki/Q1093709"
"Де-Пуле, М. Ф.";"Де-Пуле";"М. Ф.";"М. Ф.";"Де-Пуле";"Де-Пуле";"";"Де-Пуле, М. Ф.";"Q4156197";"https://www.wikidata.org/wiki/Q4156197"
"Надеждин, Н. И.";"Надеждин";"Николай Иванович";"Н. И.";"Надеждин";"Надеждину";"Надеждин, Николай Иванович";"Надеждин, Н. И.";"Q67497656";"https://www.wikidata.org/wiki/Q67497656"
"Макаров, Н. Я.";"Макаров";"Н. Я.";"Н. Я.";"Макаров";"Макарову";"";"Макаров, Н. Я.";"";""
"Перфильев";"Перфильев";"";"";"Перфильев";"Перфильеву";"";"Перфильев";"Q15079444";"https://www.wikidata.org/wiki/Q15079444"
"Шевырёв, С. П.";"Шевырёв";"Степан Петрович";"С. П.";"Шевырёв";"Шевыреву";"Шевырёв, Степан Петрович";"Шевырёв, С. П.";"Q1967027";"https://www.wikidata.org/wiki/Q1967027"
"Аксакова, Ольга Семеновна";"Аксакова";"Ольга Семеновна";"О. С.";"Аксакова";"Аксакова";"Аксакова, Ольга Семеновна";"Аксакова, О. С.";"";""
"Аладьин, Егор Васильевич";"Аладьин";"Егор Васильевич";"Е. В.";"Аладьин";"Аладьин";"Аладьин, Егор Васильевич";"Аладьин, Е. В.";"Q4060435";"https://www.wikidata.org/wiki/Q4060435"
"Александр I";"Александр I";"";"";"Александр I";"Александр I";"Александр I";"Александр I, ";"Q15193";"https://www.wikidata.org/wiki/Q15193"
"Шишков, А. С.";"Шишков";"Александр Семёнович";"А. С.";"Шишков";"Шишкову";"Шишков, Александр Семёнович";"Шишков, А. С.";"Q2522179";"https://www.wikidata.org/wiki/Q2522179"
"Александров, П.";"Александров";"П.";"П.";"Александров";"Александров";"Александров, П.";"Александров, П.";"";""
"Алексеев, Николай Степанович";"Алексеев";"Николай Степанович";"Н. С.";"Алексеев";"Алексеев";"Алексеев, Николай Степанович";"Алексеев, Н. С.";"Q18235558";"https://www.wikidata.org/wiki/Q18235558"
"Алмазов, Борис Николаевич";"Алмазов";"Борис Николаевич";"Б. Н.";"Алмазов";"Алмазов";"Алмазов, Борис Николаевич";"Алмазов, Б. Н.";"Q4062730";"https://www.wikidata.org/wiki/Q4062730"
