автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;;адресат;количество писем;даты
Канкрин, Егор Францевич;государственный деятель и экономист немецкого происхождения;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 21 ноября 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;Е. Ф. Канкрину. (1). ~ 21 ноября 1836.;;;;;;
Де Мелло, Тардиф Ахилл;французский писатель и переводчик, автор «Истории умственного развития России»;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 22 ноября 1836.;;;;;;
Давыдов, Денис Васильевич;поэт, мемуарист, генерал-лейтенант;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 23 ноября 1836.;;;;;;
Вяземский, Пётр Андреевич;поэт, литературный критик, историк, переводчик, публицист, мемуарист;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). Вторая половина ноября 1836.;;;;;;
Жуковский, Василий Андреевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). Вторая половина ноября 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;В. Ф. Одоевскому. (1). Конец ноября — начало декабря 1836.;;;;;;
Одоевский, Владимир Фёдорович;писатель;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). Конец ноября — начало декабря 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;В. Ф. Одоевскому. (1). 7 декабря 1836.;;;;;;
Барант, Проспер де;французский историк, публицист, дипломат и политический деятель, почётный член Петербургской академии наук;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 11 декабря 1836.;;;;;;
Розен, Егор Фёдорович;драматург, писатель, поэт и критик;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 13 декабря 1836.;;;;;;
Арсеньев, Дмитрий Николаевич;полковник лейб-гвардии Уланского полка, позже камергер;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 14 декабря 1836.;;;;;;
Вигель, Филипп Филиппович;мемуарист, арзамасец;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). Ноябрь — первая половина декабря 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. И. Тургенев —  А. С. Пушкину. (1). 15 декабря 1836.;;;;;;
Осипова, Прасковья Александровна (Вульф. Вындомская);псковская помещица, хозяйка усадьбы Тригорское, соседка А. С. Пушкина по имению Михайловское, близкий друг поэта;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 15 декабря 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. Г. Баранту. (1). 16 декабря 1836.;;;;;;
Коншин, Николай Михайлович;писатель и историк, переводчик, деятель системы образования;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 20 декабря 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;И. М. Коншину. (1). 21—22 декабря 1836.;;;;;;
Дурова, Надежда Андреевна (Александра Андреевича Александрова);кавалеристка, офицер Русской императорской армии, участница Отечественной войны 1812 года, писательница;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 22 декабря 1836.;;;;;;
Калашников, Михаил Иванович;крепостной, служивший в с. Михайловском при О. А. Ганнибале;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 22 декабря 1836.;;;;;;
Плюшар, Адольф Александрович;крупный русский издатель XIX века;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 23 декабря 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;П. А. Осиповой. (1). 24 декабря 1836.;;;;;;
Павлищев, Николай Иванович;историк, тайный советник;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 24 декабря 1836.;;;;;;
Жуковский, Василий Андреевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 20-е числа декабря 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;В. Ф. Одоевскому. (1). ~ 29 декабря 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. А. Плюшару. (1). 29 декабря 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;В книжную лавку А. Ф. Смирдина. (1). 29 декабря 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Неизвестному. (1). 1827—1836.;;;;;;
Неизвестная;;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 1831—1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;В. Ф. Одоевскому. (1). 1835—1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;В. Ф. Одоевскому. (1). 1835—1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. Н. Мордвинову. (1). 1835—1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;П. А. Осиповой. (1). 1835—1836.;;;;;;
"Хитрово, Елизавета Михайловна; Пушкин, Александр Сергеевич";"дочь М. И. Кутузова, подруга А. С. Пушкина; поэт";"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. П. Керн. (1). 1835—1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. П. Керн. (1). 1835—1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. П. Керн. (1). 1835—1836 .;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;П. А. Вяземскому. (1). Вторая половина 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Неизвестному. (1). Конец 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;М. Л. Яковлеву. (1). 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. Тардифу де Мелло. (1). 1836 .;;;;;;
Неизвестный;;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;В. Ф. Одоевскому. (1). Конец ноября — декабрь 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;В. Ф. Одоевскому. (1). Конец ноября — декабрь 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;П. А. Вяземскому. (1). Декабрь 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;В. Ф. Одоевскому. (1). Декабрь 1836.;;;;;;
Нащокин, Павел Воинович;меценат, коллекционер;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). Вторая половина декабря 1336.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;С. Л. Пушкину. (1). Конец декабря 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;В. Ф. Одоевскому. (1). Декабрь 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Н. И. Павлищеву. (1). 5 января 1837.;;;;;;
Осипова, Прасковья Александровна (Вульф. Вындомская);псковская помещица, хозяйка усадьбы Тригорское, соседка А. С. Пушкина по имению Михайловское, близкий друг поэта;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 6 января 1837.;;;;;;
Хлебников, Кирилл Тимофеевич;"учёный, этнограф, этнолог, русский писатель, путешественник; член-корреспондент Петербургской Академии наук, директор Российско-Американской компании, биограф первооткрывателей Русской Америки";"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 7 января 1837.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Ф. А. Скобельцыну. (1). 8 января 1837.;;;;;;
Осипова, Прасковья Александровна (Вульф. Вындомская);псковская помещица, хозяйка усадьбы Тригорское, соседка А. С. Пушкина по имению Михайловское, близкий друг поэта;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 9 января 1837.;;;;;;
Вахрушев, Иван;начинающий поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 13 января 1837.;;;;;;
Бибиков, Пётр Алексеевич;публицист, переводчик;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 14 января 1837.;;;;;;
Яковлев, Михаил Лукьянович;композитор, певец и государственный деятель, один из ближайших друзей А. С. Пушкина;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 15 января 1837.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. И. Тургеневу. (1). 16 января 1837.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Ресторану «Фильетта». (1). 16 января 1837.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. О. Ишимовой. (1). 25 января 1837.;;;;;;
Толь, Карл Фёдорович;российский генерал от инфантерии (1826), участник войн с Наполеоном, генерал-квартирмейстер во время Отечественной войны 1812 года (участвовал в совете Филях), с 1833 года — главноуправляющий путями сообщения и публичными зданиями;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 25 января 1837.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Л. М. Алымовой. (1). Март 1833.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Н. Н. Карадыкииу. (1). Декабрь 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Неизвестному. (1). Декабрь 1836.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Книжной лавке А. Ф. Смирдина. (1). Январь (до 26) 1837.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Неизвестному. (1). Январь 1837.;;;;;;
Ишимова, Александра Осиповна;детская писательница, переводчица, издатель детских журналов;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 26 января 1837.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;Л. Геккерну. (1). 26 января 1837.;;;;;;
Геккерн, Луи;голландский дипломат, приёмный отец Жоржа Дантеса;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 26 января 1837.;;;с припиской Ж. Дантеса;;;
Аршиак, Адольф де Сен-Симон;французский геолог, палеонтолог;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 26 января 1837.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. И. Тургеневу. (1). 26 января 1837.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;К. Ф. Толю. (1). 26 января 1837.;;;;;;
Аршиак, Адольф де Сен-Симон;французский геолог, палеонтолог;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 26 января 1837.;;;;;;
Меджнис, Артур Чарльз;британский дипломат, несостоявшийся секундант А. С. Пушкина на дуэле с Дантесом;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. Меджнис —  А. С. Пушкину. (1). 27 января 1837.;;;;;;
Аршиак, Адольф де Сен-Симон;французский геолог, палеонтолог;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 27 января 1837.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;О. д’Аршиаку. (1). 27 января 1837.;;;;;;
Аршиак, Адольф де Сен-Симон;французский геолог, палеонтолог;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 27 января 1837.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. О. Ишимовой. (1). 27 января 1837.;;;;;;
