автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;;адресат;количество писем;даты
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;В. А. Поленову. (1). 28 августа 1835.;;;;;;
Яковлев, Михаил Лукьянович;композитор, певец и государственный деятель, один из ближайших друзей А. С. Пушкина;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 5 сентября 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Е. Ф. Канкрину. (1). 6 сентября 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Н. Н. Пушкиной. (1). 14 сентября 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. И. Беклешовой. (1). 11—18 сентября 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Н. Н. Пушкиной. (1). 21 сентября 1835.;;;;;;
Клейнмихель, Пётр Андреевич;государственный деятель;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 24 сентября 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Н. Я. Пушковой. (1). 25 сентября 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Н. Н. Пушкиной. (1). 29 сентября 1335.;;;;;;
Дурова, Надежда Андреевна (Александра Андреевича Александрова);кавалеристка, офицер Русской императорской армии, участница Отечественной войны 1812 года, писательница;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 30 сентября 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Н. Н. Пушкиной. (1). 2 октября 1835.;;;;;;
