"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url"
"Аксаковы, В. С.";"Аксаковы";"В. С.";"В. С.";"Аксаков";"Аксаковым";"";"Аксаков, В. С.";"";""
"Аксаковы, Г. С.";"Аксаковы";"Г. С.";"Г. С.";"Аксаков";"Аксаковым";"";"Аксаков, Г. С.";"";""
"Аксаковы, И. С.";"Аксаковы";"Иван Сергеевич";"И. С.";"Аксаков";"Аксаковым";"Аксаков, Иван Сергеевич";"Аксаков, И. С.";"";""
"Аксаковы, К. С.";"Аксаковы";"Константин Сергеевич";"К. С.";"Аксаков";"Аксаковым";"Аксаков, Константин Сергеевич";"Аксаков, К. С.";"";""
"Аксаковы, М. С.";"Аксаковы";"М. С.";"М. С.";"Аксаков";"Аксаковым";"";"Аксаков, М. С.";"";""
"Аксаковы, О. С.";"Аксаковы";"О. С.";"О. С.";"Аксаков";"Аксаковым";"";"Аксаков, О. С.";"";""
"Аксаковы, С. Т.";"Аксаковы";"Сергей Тимофеевич";"С. Т.";"Аксаков";"Аксаковым";"Аксаков, Сергей Тимофеевич";"Аксаков, С. Т.";"";""
"Аксельрод, П. Б.";"Аксельрод";"П. Б.";"П. Б.";"Аксельрод";"Аксельроду";"";"Аксельрод, П. Б.";"";""
"Аксёнов, М. С.";"Аксёнов";"М. С.";"М. С.";"Аксёнов";"Аксенову";"";"Аксёнов, М. С.";"";""
"Акулов, Н. С.";"Акулов";"Н. С.";"Н. С.";"Акулов";"Акулову";"";"Акулов, Н. С.";"";""
"Аладьин, Егор Васильевич";"Аладьин";"Егор Васильевич";"Е. В.";"Аладьин";"Аладьин";"Аладьин, Егор Васильевич";"Аладьин, Е. В.";"";""
"Александр Бакунины";"Александр Бакунины";"";"";"Александр Бакунины";"Александру Бакуниным";"";"Александр Бакунины";"";""
"Александр Биксио";"Александр Биксио";"";"";"Александр Биксио";"Александру Биксио";"";"Александр Биксио";"";""
"Александр Гессе";"Александр Гессе";"";"";"Александр Гессе";"Александру Гессе";"";"Александр Гессе";"";""
"Александр Император";"Александр Император";"";"";"Александр Император";"Александру Императору";"";"Александр Император";"";""
"Александр Макдональд";"Александр Макдональд";"";"";"Александр Макдональд";"Александру Макдональду";"";"Александр Макдональд";"";""
"Александр Мера";"Александр Мера";"";"";"Александр Мера";"Александру Мере";"";"Александр Мера";"";""
"Александр Михайлович";"Александр Михайлович";"";"";"Александр Михайлович";"Александру Михайловичу";"";"Александр Михайлович";"";""
"Александр Николаевич";"Александр Николаевич";"";"";"Александр Николаевич";"Александру Николаевичу";"";"Александр Николаевич";"";""
"Александр Тихонович";"Александр Тихонович";"";"";"Александр Тихонович";"Александру Тихоновичу";"";"Александр Тихонович";"";""
"Александр Хэйгу";"Александр Хэйгу";"";"";"Александр Хэйгу";"Александру Хэйгу";"";"Александр Хэйгу";"";""
"Александр I";"Александр I";"";"";"Александр I";"Александр I";"Александр I";"Александр I, ";"";""
"Александр II";"Александр II";"";"";"Александр II";"Александру II";"";"Александр II";"";""
"Александр III";"Александр III";"";"";"Александр III";"Александру III";"";"Александр III";"";""
