автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Бенкендорф, Александр Христофорович;"государственный деятель, военачальник, генерал от кавалерии; шеф жандармов";"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;двусторонняя;А. С. Пушкину. (1). 23 декабря 1826.;;;;;
Плетнёв, Пётр Александрович;критик, поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 2 января 1827.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;двусторонняя;А. X. Бенкендорфу. (1). 3 января 1827.;;;;;
Дельвиг, Антон Антонович;поэт, издатель, лицейский друг А. С. Пушкина;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). Первая половина января (?) 1827.;;;;;
Плетнёв, Пётр Александрович;критик, поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 18 января 1827.;;;;;
Арина Родионовна;няня А. С. Пушкина;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 30 января 1827.;;;;;
"Пушкин, Александр Сергеевич; Соболевский, Сергей Александрович";"поэт; библиограф";"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;П. П. Каверину. (1). 18 февраля 1827.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;двусторонняя;В. И. Туманскому. (1). Февраль (не позднее 23) 1827.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. А. Муханову. (1). Вторая половина февраля (после 18) 1827.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. А. Дельвигу. (1). 2 марта 1827.;;;;;
Туманский, Василий Иванович;чиновник, поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;двусторонняя;А. С. Пушкину. (1). 2 марта 1827.;;;;;
Бенкендорф, Александр Христофорович;"государственный деятель, военачальник, генерал от кавалерии; шеф жандармов";"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 4 марта 1827.;;;;;
Арина Родионовна;няня А. С. Пушкина;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 6 марта 1827.;;;;;
Алексеев, Николай Степанович;офицер времён Отечественной войны, которому А. С. Пушкин посвятил свою поэму «Гавриилиада», а также стихотворения «Приятелю», «Мой милый, как несправедливы» (оба 1821), «Прощай, отшельник бессарабской» (1826);"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 20 марта 1827.;;;;;
Дельвиг, Антон Антонович;поэт, издатель, лицейский друг А. С. Пушкина;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 21 марта 1827.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. X. Бенкендорфу. (1). 22 марта 1827.;;;;;
