автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник
В. П. Гаевскому. (1). Первая половина декабря 1886.;
Н. А. Белоголовому. (1). 16 декабря 1886.;
Г. 3. Елисееву. (1). 16 декабря 1886.;
В. М. Соболевскому. (1). 17 декабря 1886.;
Л. Ф. Пантелееву. (1). 1 января 1887.;
Л. Ф. Пантелееву. (1). 5 января 1887.;
П. И. Вейнбергу. (1). 10 января 1887.;
К. М. Салтыкову. (1). 15 января 1887.;
Н. А. Белоголовому. (1). 25 января 1887.;
M. М. Стасюлевичу. (1). 26 января 1887.;
Н. К. Михайловскому. (1). 26 января 1887.;
M. И. Семевскому. (1). 1 февраля 1887.;
М. И. Семевскому. (1). 4 февраля 1887.;
M. М. Стасюлевичу. (1). 24 февраля 1887.;
С. Н. Шубинскому. (1). 26 февраля 1887.;
Г. 3. Елисееву. (1). 4 марта 1887.;
Издательству «Посредник». (1). 12 марта 1887.;
В. М. Соболевскому. (1). 13 марта 1887.;
М. М. Стасюлевичу. (1). 20 марта 1887.;
M. М. Стасюлевичу. (1). 23 марта 1887.;
M. М. Стасюлевичу. (1). 23 марта 1887.;
Н. А. Белоголовому. (1). 26 марта 1887.;
M. М. Стасюлевичу. (1). 26 марта 1887.;
M. М. Стасюлевичу. (1). 26 марта 1887.;
В. Г. Черткову. (1). 26 марта 1887.;
M. М. Стасюлевичу. (1). 27 марта 1887.;
Л. Ф. Пантелееву. (1). 30 марта 1887.;
В. М. Соболевскому. (1). 30 марта 1887.;
В. Г. Черткову. (1). 30 марта 1887.;
Редакции «Русской старины». (1). 1 апреля 1887.;
П. К. Кюгельгену. (1). 4 апреля 1887.;
Л. Ф. Пантелееву. (1). 6 апреля 1887.;
Г. 3. Елисееву. (1). 11 апреля 1887.;
M. М. Стасюлевичу. (1). 12 апреля 1887.;
В. П. Гаевскому. (1). 13 апреля 1887.;
В. М. Соболевскому. (1). 13 апреля 1887.;
В. П. Гаевскому. (1). 14 апреля 1887.;
Л. Ф. Пантелееву. (1). 16 апреля 1887.;
Л. Ф. Пантелееву. (1). 17 апреля 1887.;
В. П. Гаевскому. (1). 19 апреля 1887.;
M. М. Стасюлевичу. (1). 13—20 апреля 1887.;
M. М. Стасюлевичу. (1). 20 апреля 1887.;
M. М. Стасюлевичу. (1). 22 апреля 1887.;
В. А. Гольцеву. (1). 27 апреля 1887.;
M. М. Стасюлевичу. (1). 27 апреля 1887.;
M. М. Стасюлевичу. (1). 29 апреля 1887.;
В. М. Соболевскому. (1). 2 мая 1887.;
В. М. Соболевскому. (1). 5 мая 1887.;
В. М. Соболевскому. (1). 7 мая 1887.;
Конторе «Русских ведомостей». (1). 7 мая 1887.;
В. М. Соболевскому. (1). 8 мая 1887.;
В. М. Соболевскому. (1). 8 мая 1887.;
В. M. Соболевскому. (1). 9 мая 1887.;
Г. 3. Елисееву. (1). 12 мая 1887.;
В. М. Соболевскому. (1). 12 мая 1887.;
M. М. Стасюлевичу. (1). 13 мая 1887.;
В. М. Соболевскому. (1). 14 мая 1887.;
Н. А. Белоголовому. (1). 18 мая 1887.;
M. М. Стасюлевичу. (1). 18 мая 1887.;
Л. Ф. Пантелееву. (1). 28 мая 1887.;
Н. А. Белоголовому. (1). 31 мая 1887.;
M. М. Стасюлевичу. (1). 3 июня 1887.;
M. М. Стасюлевичу. (1). 4 июня 1887.;
Г. 3. Елисееву. (1). И июня 1887.;
M. М. Стасюлевичу. (1). 11 июня 1887.;
В. П. Гаевскому. (1). 19 июня 1887.;
Н. А. Белоголовому. (1). 24 июня 1887.;
В. П. Гаевскому. (1). 24 июня 1887.;
В. П. Гаевскому. (1). 26 июня 1887.;
M. М. Стасюлевичу. (1). 27 июня 1887.;
Л. Ф. Пантелееву. (1). 28 июня 1887.;
В. П. Гаевскому. (1). 8 июля 1887.;
Н. А. Белоголовому. (1). 12 июля 1887.;
Н. А. Белоголовому. (1). 24 июля 1887.;
А. Н. Пыпину. (1). 27 июля 1887.;
M. М. Стасюлевичу. (1). 27 июля 1887.;
Н. А. Белоголовому. (1). 28 июля 1887.;
M. М. Стасюлевичу. (1). 6 августа 1887.;
Л. Ф. Пантелееву. (1). 12 августа 1887.;
M. М. Стасюлевичу. (1). 15 августа 1887.;
Л. Ф. Пантелееву. (1). 24 августа 1887.;
А. Н. Пыпину. (1). 25 августа 1887.;
Н. А. Белоголовому. (1). 26 августа 1887.;
Л. Ф. Пантелееву. (1). 1 сентября 1887.;
В. М. Соболевскому. (1). 1 сентября 1887.;
В. П. Гаевскому. (1). 2 сентября 1887.;
M. М. Стасюлевичу. (1). 7 сентября 1887.;
А. Н. Пыпину. (1). 8 сентября 1887.;
M. М. Стасюлевичу. (1). 8 сентября 1887.;
M. М. Стасюлевичу. (1). 9 сентября 1887.;
M. М. Стасюлевичу. (1). 9 сентября 1887.;
Н. А. Белоголовому. (1). 13 сентября 1887.;
В. М. Соболевскому. (1). 13 сентября 1887.;
А. Н. Плещееву. (1). 14 сентября 1887.;
А. Н. Пыпину. (1). 22 сентября 1887.;
M. М. Стасюлевичу. (1). 23 сентября 1887.;
Н. А. Белоголовому. (1). 25 сентября 1887.;
H. К. Михайловскому. (1). 9 октября 1887.;
Л. Ф. Пантелееву. (1). 11 октября 1887.;
В. М. Соболевскому. (1). 11 октября 1887.;
M. М. Стасюлевичу. (1). 11 октября 1887.;
M. М. Стасюлевичу. (1). 15 октября 1887.;
М. М. Стасюлевичу. (1).19 октября 1887.;
В. П. Гаевскому. (1). 25 октября 1887.;
Н. А. Белоголовому. (1). 27 октября 1887.;
M. М. Стасюлевичу. (1). 29 октября 1887.;
Г. 3. Елисееву. (1). 30 октября 1887.;
Н. К. Михайловскому. (1). 30 октября 1887.;
Л. Ф. Пантелееву. (1). 30 октября 1887.;
В. М. Соболевскому. (1). 30 октября 1887.;
В. М. Соболевскому. (1). 31 октября 1887.;
Н. К. Михайловскому. (1). 1 ноября 1887.;
В. М. Соболевскому. (1). 3 ноября 1887.;
М. М. Стасюлевичу. (1). 7 ноября 1887.;
М. М. Стасюлевичу. (1). 10 ноября 1887.;
И. Д. Гальперину-Каминскому. (1). 14 ноября 1887.;
Н. А. Белоголовому. (1). 16 ноября 1887.;
Л. Ф. Пантелееву. (1). 17 ноября 1887.;
Н. А. Белоголовому. (1). 30 ноября 1887.;
M. М. Стасюлевичу. (1). 12 декабря 1887.;
В. И. Лихачеву. (1). 17 декабря 1887.;
Н. А. Белоголовому. (1). 18 декабря 1887.;
M. М. Стасюлевичу. (1). 21 декабря 1887.;
М. М. Стасюлевичу. (1). 10 января 1888.;
М. М. Стасюлевичу. (1). 12 января 1888.;
Н. А. Белоголовому. (1). 1 февраля 1888.;
А. И. Урусову. (1). 2 февраля 1888.;
M. М. Стасюлевичу. (1). 14 февраля 1888.;
А. И. Урусову. (1). 17 февраля 1888.;
Н. А. Белоголовому. (1). 21 февраля 1888.;
В. М. Соболевскому. (1). 21 февраля 1888.;
В. М. Соболевскому. (1). 27 февраля 1888.;
В. П. Гаевскому. (1). До марта 1888.;
В. П. Гаевскому. (1). До марта 1888.;
Н. А. Белоголовому. (1). 2 марта 1888.;
Е. Н. Гаевской. (1). 4 марта 1888.;
С. А. Юрьеву. (1). 10 марта 1888.;
В. А. Гольцеву. (1). 20 марта 1888.;
Л. Ф. Пантелееву. (1). 20 марта 1888.;
M. М. Стасюлевичу. (1). 22 марта 1888.;
Н. А. Белоголовому. (1). 24 марта 1888.;
Н. А. Белоголовому. (1). 5 апреля 1888.;
M. М. Стасюлевичу. (1). 15 апреля 1888.;
М. М. Стасюлевичу. (1). 20 апреля 1888.;
Л. Ф. Пантелееву. (1). 24 апреля 1888.;
Л. Ф. Пантелееву. (1). 26 апреля 1888.;
Н. А. Белоголовому. (1). 26 апреля 1888.;
А. Н. Плещееву. (1). 1 мая 1886—1888.;
Н. А. Белоголовому. (1). 9 мая 1888.;
M. М. Стасюлевичу. (1). 28 мая 1888.;
Н. А. Белоголовому. (1). 3 июня 1888.;
M. М. Стасюлевичу. (1). 5 июня 1888.;
M. М. Стасюлевичу. (1). 19 июня 1888.;
M. М. Стасюлевичу. (1). 21 июня 1888.;
M. М. Стасюлевичу. (1). 26 июня 1888.;
Л. Ф. Пантелееву. (1). 1 июля 1888.;
Н. А. Белоголовому. (1). 14 июля 1888.;
M. М. Стасюлевичу. (1). 17 июля 1888.;
M. М. Стасюлевичу. (1). 26 июля 1888.;
M. М. Стасюлевичу. (1). 31 июля 1888.;
Г. 3. Елисееву. (1). 1 августа 1888.;
Г. 3. Елисееву. (1). 3 августа 1888.;
Г. 3. Елисееву. (1). 6 августа 1888.;
Н. А. Белоголовому. (1). 10 августа 1888.;
Г. 3. Елисееву. (1). 17 августа 1888.;
Л. Ф. Пантелееву. (1). 18 августа 1888.;
М. М. Стасюлевичу. (1). 21 августа 1888.;
Г. 3. Елисееву. (1). 22 августа 1888.;
Г. 3. Елисееву. (1). 4 сентября 1888.;
Н. А. Белоголовому. (1). 16 сентября 1888.;
Л. Ф. Пантелееву. (1). 16 сентября 1888.;
Г. 3. Елисееву. (1). 4 октября 1888.;
А. Я. Герду. (1). 7 октября 1888.;
М. М. Стасюлевичу. (1). 9 октября 1888.;
Н. А. Белоголовому. (1). 10 октября 1888.;
А. Н. Энгельгардт. (1). И октября 1888.;
Л. Ф. Пантелееву. (1). 11 октября 1886—1888.;
M. М. Стасюлевичу. (1). 20 октября 1888.;
В. Р. Зотову. (1). 1 ноября 1888.;
М. М. Стасюлевичу. (1). 5 ноября 1888.;
Н. А. Белоголовому. (1). 8 ноября 1888.;
М. М. Стасюлевичу. (1). 9 ноября 1888.;
M. M. Стасюлевичу. (1). 13 ноября 1888.;
H. А. Белоголовому. (1). 17 ноября 1888.;
В. М. Соболевскому. (1). 19 ноября 1888.;
М. М. Стасюлевичу. (1). 25 ноября 1888.;
M. М. Стасюлевичу. (1). 26 ноября 1888.;
А. Л. Боровиковскому. (1). 30 ноября 1888.;
Л. Ф. Пантелееву. (1). 30 ноября 1888.;
Н. А. Белоголовому. (1). 1 декабря 1888.;
Г. 3. Елисееву. (1). 3 декабря 1888.;
Л. Ф. Пантелееву. (1). 6 декабря 1888.;
Г. 3. Елисееву. (1). 7 декабря 1888.;
Г. 3. Елисееву. (1). 8 декабря 1888.;
В. М. Соболевскому. (1). 14 декабря 1888.;
Н. А. Белоголовому. (1). 15 декабря 1888.;
M. М. Стасюлевичу. (1). 18 декабря 1888.;
А. Н. Пыпину. (1). 21 декабря 1888.;
M. М. Стасюлевичу. (1). 26 декабря 1888.;
В. М. Соболевскому. (1). 28 декабря 1888.;
А. Н. Пыпину. (1). 29 декабря 1888.;
M. М. Стасюлевичу. (1). 31 декабря 1888.;
Л. Ф. Пантелееву. (1). 4 января 1889.;
В. М. Соболевскому. (1). 5 января 1889.;
Л. Ф Пантелееву. (1). 9 января 1889.;
M. М. Стасюлевичу. (1). 16 января 1889.;
Л. Ф. Пантелееву. (1). 17 января 1889.;
M. М. Стасюлевичу. (1). 17 января 1889.;
Н. А. Белоголовому. (1). 18 января 1889.;
А. Н. Энгельгардту. (1). 23 января 1886—1889.;
